sep=,
"Name","Entity Description","Description","Version","Executions","Shortcut","Hidden",

"Recuva x64",         "Program","Accidentally deleted an important file? Lost something important when your computer crashed? No problem! Recuva recovers files deleted from your Windows computer, Recycle Bin, digital camera card, or MP3 player.  And it's free! Piriform #Diskutility","1.53"," "," "," ",
"xampp-control",      "Program"," "," ","27"," "," ",
"Lingoes",            "Program", "Lingoes is an easy and intuitive dictionary and text translation software.  It offers lookup dictionaries, full text translation, capture word on screen, translate selected text and pronunciation of words in over 80 languages including Chinese, Spanish, English, Arabic, Portuguese, and more.   The application includes the Concise English Dictionary and additional dictionaries are available for download.  Lingoes Project #Education #Dictionaries","2.9.2","1"," "," ",
"locate32",           "Program"," "," ","28"," "," ",
"Cmder",              "Program", "Cmder is a software package created out of pure frustration over absence of usable console emulator on Windows. It is based on ConEmu with major config overhaul. Monokai color scheme, amazing clink and custom prompt layout. Samuel Vasko #System #ShellReplacements","1.3.14.982","34"," "," ",
"IrfanView (x64)",    "Program","IrfanView is a very fast, small, compact and innovative FREEWARE (for non-commercial use) graphic viewer for Windows 9x, ME, NT, 2000, XP, 2003 , 2008, Vista, Windows 7, Windows 8. Irfan Skiljan #Viewer","4.54","9"," "," ",
"TreeSizeFreePortable","Program"," "," ","4"," "," ",
"AnyDesk","Program","AnyDesk is the fastest remote desktop software on the market. It allows for new usage scenarios and applications that have not been possible with current remote desktop software. AnyDesk Software GmbH #System #RemoteControl","5.4.2","6"," "," ",
"Thunderbird Portable","Program","https://support.mozilla.org/en-US/kb/profiles-where-thunderbird-stores-user-data  Profile Location Summary %APPDATA%\Thunderbird\Profiles\xxxxxxxx.default\ or portable : J:\symenu\ProgramFiles\SPSSuite\SyMenuSuite\ThunderbirdPortable_sps\Data\profile  %APPDATA% is shorthand for the C:\Users\<username>\AppData\Roaming\ folder, which depends on your Windows user account name.  How to find your profile ------------------------ Click on the menu button or menu bar. From the Help menu, click Troubleshooting Information. In the Application Basics section, Profile Folder, click on Open Folder The Windows Explorer window will show the name of the profile as well as the path to it.  Replace new profile folder with the profile dir above    Mozilla Thunderbird is the safe, fast email client that's easy to use. It has lots of great features including quick message search, customizable views, support for IMAP/POP, RSS support and more. Plus, the portable version leaves no personal information behind on the machine you run it on, so you can take your email and adress book with you wherever you go. PortableApps.com (John T. Haller) and Mozilla #Internet #EmailClients","60.9.1","3"," "," ",
"RDShutdown",          "Program","Allows you to easily shutdown and wake up local or remote PCs, with many specific options.  DShutdown supports more than just standard shutdown options, there are options relating to ""pure"" shutdown (such as the ""force after wait"" option which causes a forced, but 'clear' shutdown). There are monitoring options that allow you to shutdown a PC after a particular application terminates (useful at the end of compressing several files). There are also options to shutdown a PC when Internet traffic reduces below a particular data-rate (useful to shutdown a PC when it has finished a large download).  It is also possible to intercept a shutdown request, initiated by the user or an application, and to then execute the shutdown request with selected options from DShutdown. (For example: to simultaneously shut down all Lan PCs when the server shuts down).  DShutdown doesn't force a power-off without logging off and saving settings. DShutdown instead provides a means to log-off, shutdown and safely power-off your PC. Administrators who use roaming profiles will appreciate the benefits of this feature. Dimitrios Coutsoumbas #System #Administration","1.76","2"," "," ",
"RDShutdown Setup Util","Program","Allows you to easily shutdown and wake up local or remote PCs, with many specific options.  DShutdown supports more than just standard shutdown options, there are options relating to ""pure"" shutdown (such as the ""force after wait"" option which causes a forced, but 'clear' shutdown). There are monitoring options that allow you to shutdown a PC after a particular application terminates (useful at the end of compressing several files). There are also options to shutdown a PC when Internet traffic reduces below a particular data-rate (useful to shutdown a PC when it has finished a large download).  It is also possible to intercept a shutdown request, initiated by the user or an application, and to then execute the shutdown request with selected options from DShutdown. (For example: to simultaneously shut down all Lan PCs when the server shuts down).  DShutdown doesn't force a power-off without logging off and saving settings. DShutdown instead provides a means to log-off, shutdown and safely power-off your PC. Administrators who use roaming profiles will appreciate the benefits of this feature. Dimitrios Coutsoumbas #System #Administration","1.76"," "," "," ",
"ReNamer Lite",       "Program","ReNamer is a very powerful and flexible file renaming tool, which offers all the standard renaming procedures, including prefixes, suffixes, replacements, case changes, as well as removing contents of brackets, adding number sequences, changing file extensions, etc. For advanced users there is support for Regular Expressions and a PascalScript rule, which lets users program their very own renaming rule.  Program allows you to combine multiple renaming actions as a rule set, applying each action in a logical sequence, which can be saved, loaded, and managed within the program. In addition, it has an ability to rename folders, process regular expressions, Unicode capable, and supports variety of meta tags, such as: ID3v1, ID3v2, EXIF, OLE, AVI, MD5, CRC32, and SHA1. Denis Kozlov #Files #Renamers","7.2.0.0"," "," "," ",
"Revo Uninstaller",   "Program"," Revo Uninstaller helps you to uninstall software and remove unwanted programs installed on your computer easily! Even if you have problems uninstalling and cannot uninstall them from ""Windows Programs and Features (Add or Remove Programs)"" control panel applet.  Revo Uninstaller is a much faster and more powerful alternative to ""Windows Programs and Features (Add or Remove Programs)"" applet! It has very powerful features to uninstall and remove programs.  VS Revo Group #System","2.1.1","3"," "," ",
"RouteConverter Ed",  "Program","RouteConverter is a free, user friendly GPS tool to display, edit, enrich and convert routes, tracks and waypoints. It helps me to plan routes and consolidate tracks, and I hope it could help you. RouteConverter Offline Edition exists for users that like Offline/OSM/mapsforge/BRouter/GraphHopper. Christian Pesch #Others #Mapping","2.27.2"," "," "," ",
"Run-Command (x64)",  "Program","Run-Command is a small, portable windows program and created as an alternative to the standard Windows Run-Dialog.  Nenad Hrg SoftwareOK #Productivity #ProgramLaunchers","3.51"," "," "," ",
"SDI (x64)",          "Program","Install missing drivers and update old drivers  If you lost your discs with drivers, unable to find drivers on manufacturer's website or Windows Update cannot to configure your hardware, you can use this tool to find and install all missing drivers.  Bad Pointer #System #Administration","R2000","1"," "," ",
